"","SRR14864859","SRR14864860","SRR14864861","SRR14864862","SRR14864863","SRR14864864","SRR14864865","SRR14864866","SRR14864867","SRR14864868","SRR14864869","SRR14864870"
"ENSG00000007202",1293,1281,517,1353,418,1422,1005,1602,1263,841,1070,416
"ENSG00000007216",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000007237",3219,2854,2329,2138,543,2910,3232,4776,1484,1198,4199,2205
"ENSG00000007255",32,52,60,54,8,46,57,56,30,3,50,15
"ENSG00000007264",96,77,38,79,7,88,29,76,35,44,60,24
"ENSG00000007306",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000007312",0,0,0,0,0,0,0,1,0,0,2,0
"ENSG00000007314",0,0,0,0,0,3,2,4,5,0,1,1
"ENSG00000007341",175,194,243,185,39,154,158,173,189,140,164,123
"ENSG00000007350",2,1,1,3,2,5,3,0,3,0,2,49
"ENSG00000007372",603,392,322,488,115,338,467,429,401,341,392,207
"ENSG00000007376",19,69,48,8,1,67,40,17,12,15,36,0
"ENSG00000007384",7,34,8,15,8,29,12,63,32,5,12,5
"ENSG00000007392",601,717,442,580,185,695,824,942,392,258,522,519
"ENSG00000007402",85,79,68,75,31,51,30,109,98,80,91,100
"ENSG00000007516",24,47,37,25,0,6,3,77,5,80,44,32
"ENSG00000007520",287,76,13,266,0,13,1,147,12,3,180,19
"ENSG00000007541",62,24,24,52,12,74,49,124,29,18,7,29
"ENSG00000007545",57,190,51,117,33,134,138,164,115,3,149,127
"ENSG00000007866",3,13,7,9,5,9,6,8,39,3,6,15
"ENSG00000007908",15,14,6,13,55,65,5,59,10,8,10,171
"ENSG00000007923",279,259,161,252,94,300,480,568,224,83,169,173
"ENSG00000007933",0,10,1,0,1,3,0,4,0,4,0,2
"ENSG00000007944",144,171,209,147,25,87,89,172,153,115,119,43
"ENSG00000007952",0,0,0,12,0,0,0,0,0,0,0,0
"ENSG00000007968",0,0,0,0,0,0,0,0,0,0,0,2
"ENSG00000008018",450,310,354,436,138,174,160,470,312,160,372,120
"ENSG00000008056",1930,2130,378,716,75,2868,908,3257,615,422,2542,825
"ENSG00000008083",44,0,134,32,57,0,283,181,0,100,26,151
"ENSG00000008086",3316,2249,1462,2085,451,1855,1711,2781,1288,1576,4126,2405
"ENSG00000008118",272,21,26,175,0,212,112,294,6,62,376,378
"ENSG00000008128",51,156,25,123,39,72,90,174,88,79,49,18
"ENSG00000008130",109,55,6,163,38,142,19,76,65,42,125,61
"ENSG00000008196",4,1,2,5,12,2,0,0,0,2,2,1
"ENSG00000008197",3,0,0,1,0,0,0,0,0,0,0,0
"ENSG00000008226",37,95,27,109,26,60,55,51,98,4,36,99
"ENSG00000008256",183,113,4,86,0,136,197,205,85,115,204,102
"ENSG00000008277",2071,959,958,1387,513,1009,826,1071,882,877,2292,1313
"ENSG00000008282",342,241,354,404,221,278,124,344,388,205,121,132
"ENSG00000008283",0,0,0,0,0,1,0,2,0,0,0,1
"ENSG00000008294",3861,3702,5245,5605,1661,3091,3661,4417,3549,2992,3862,1850
"ENSG00000008300",342,519,179,322,82,349,269,613,312,176,326,165
"ENSG00000008311",405,937,737,403,406,626,942,1058,660,365,366,464
"ENSG00000008323",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000008324",124,59,65,140,32,95,66,71,100,18,86,31
"ENSG00000008382",64,76,11,60,4,69,60,28,25,4,51,18
"ENSG00000008394",653,280,185,365,161,177,222,277,203,153,257,386
"ENSG00000008405",192,120,198,198,67,105,34,21,308,48,26,50
"ENSG00000008438",0,1,0,0,0,0,4,3,0,0,0,0
"ENSG00000008441",1476,1763,1630,1483,319,1748,1271,2082,1016,707,1849,418
"ENSG00000008513",221,124,140,161,36,158,141,126,110,58,149,109
"ENSG00000008516",0,0,0,0,1,1,2,7,0,0,2,1
"ENSG00000008517",13,0,0,0,5,12,2,13,6,12,4,5
"ENSG00000008710",202,578,126,210,56,623,388,1035,351,115,434,147
"ENSG00000008735",430,413,132,208,58,430,254,477,172,120,470,175
"ENSG00000008838",26,95,96,42,53,104,59,49,8,30,47,5
"ENSG00000008853",342,214,143,310,57,103,363,272,97,88,298,117
"ENSG00000008869",376,184,2,7,3,11,225,24,72,3,8,18
"ENSG00000008952",1038,885,1218,1265,446,952,527,681,659,758,1130,537
"ENSG00000008988",3863,3140,3587,3530,893,2092,1728,2624,2726,2138,2801,1517
"ENSG00000009307",3006,1945,3168,3333,1097,1250,1799,1436,2304,1702,1725,1171
"ENSG00000009335",89,113,417,98,120,105,312,355,111,88,358,89
"ENSG00000009413",2134,2150,2221,2756,837,1493,2153,1837,1427,1761,1974,2068
"ENSG00000009694",645,393,414,555,48,664,362,340,293,255,873,619
"ENSG00000009709",0,0,0,0,0,1,0,0,0,0,0,0
"ENSG00000009724",80,102,44,82,29,91,83,125,62,53,95,114
"ENSG00000009765",6,0,0,0,0,0,0,0,1,0,1,0
"ENSG00000009780",93,106,146,132,44,90,134,167,54,51,95,107
"ENSG00000009790",21,61,38,37,35,26,60,110,39,30,29,48
"ENSG00000009830",246,348,168,227,110,316,241,720,332,137,172,148
"ENSG00000009844",269,310,307,411,173,267,133,193,174,286,293,199
"ENSG00000009950",17,110,1,128,2,52,157,63,14,55,11,9
"ENSG00000009954",3011,2969,3877,4411,941,2018,2653,2588,3056,2316,2829,1095
"ENSG00000010017",1681,1008,1048,1201,339,612,488,828,707,882,1272,584
"ENSG00000010030",10,0,6,0,1,5,1,0,2,0,1,5
"ENSG00000010072",92,118,97,122,37,95,78,111,108,57,76,94
"ENSG00000010165",153,46,7,91,56,39,91,57,29,9,108,90
"ENSG00000010219",215,207,182,200,70,179,285,286,157,113,170,86
"ENSG00000010244",1951,1470,1420,1679,716,1699,2304,2375,1560,955,1124,1770
"ENSG00000010256",363,313,233,279,69,118,165,291,185,142,409,86
"ENSG00000010270",68,68,26,73,16,71,72,96,93,23,67,33
"ENSG00000010278",279,281,550,459,179,419,236,719,485,201,187,170
"ENSG00000010282",343,366,282,276,145,728,556,616,98,135,215,77
"ENSG00000010292",90,168,214,65,63,100,134,68,102,15,70,13
"ENSG00000010295",33,209,66,62,47,66,52,133,76,46,41,51
"ENSG00000010310",5,93,25,0,0,83,58,98,102,9,0,7
"ENSG00000010318",13,21,6,20,3,9,16,11,4,3,6,10
"ENSG00000010319",6,25,24,20,6,12,15,53,11,15,11,0
"ENSG00000010322",424,170,96,179,14,137,191,559,138,115,439,38
"ENSG00000010327",76,66,54,108,44,134,86,134,101,101,38,47
"ENSG00000010361",37,27,97,47,14,47,21,62,22,30,20,6
"ENSG00000010379",17,13,5,5,4,17,14,15,9,10,1,4
"ENSG00000010404",695,701,384,527,120,561,1302,720,290,467,757,698
"ENSG00000010438",115,89,28,42,4,84,22,63,22,23,138,25
"ENSG00000010539",25,41,18,36,1,21,24,40,32,5,19,25
"ENSG00000010610",104,82,122,74,18,80,56,0,6,63,34,42
"ENSG00000010626",142,104,79,107,26,67,76,93,76,43,78,66
"ENSG00000010671",46,44,2,56,17,8,24,25,31,19,49,33
"ENSG00000010704",36,5,21,42,26,45,4,91,11,8,13,5
"ENSG00000010803",320,458,211,339,89,361,220,236,159,238,251,206
"ENSG00000010810",736,542,816,826,202,380,452,830,507,353,559,479
"ENSG00000010818",2998,2220,2424,2925,509,2716,1507,2558,1579,1364,2897,1376
"ENSG00000010932",0,0,0,0,1,6,0,0,1,4,1,0
"ENSG00000011007",574,402,327,508,206,343,474,552,426,362,467,337
"ENSG00000011009",0,2,47,0,22,9,1,2,7,9,8,0
"ENSG00000011021",535,619,377,493,206,696,454,789,485,317,620,141
"ENSG00000011028",46,37,49,48,32,38,47,52,31,25,31,30
"ENSG00000011052",35,23,16,11,4,26,36,50,12,24,22,2
"ENSG00000011083",161,163,39,61,4,139,135,311,24,89,69,59
"ENSG00000011105",1,0,0,18,0,0,0,4,0,40,0,0
"ENSG00000011114",590,616,192,225,55,125,143,342,130,112,123,218
"ENSG00000011132",18,34,15,24,7,31,49,56,25,6,8,0
