"gene_id","gene_name","log2FoldChange","foldChange","pvalue","padj","baseMean"
"ENSG00000136732","GYPC",1.39830800313883,2.63592259048863,7.52338465318246e-05,0.0170485270087295,67.6782881870839
"ENSG00000142871","CCN1",1.93250334045709,3.81716973850179,0.000187630869772984,0.0274734892779135,131.404293050183
"ENSG00000142910","TINAGL1",3.95860510178838,15.5474395399157,4.88840140781883e-05,0.0131846683759724,18.7029872227176
"ENSG00000143545","RAB13",1.19147094277805,2.28385481738534,2.89403360750116e-07,0.000423753305529113,336.064141001523
"ENSG00000144468","RHBDD1",1.46079506965483,2.75260017711281,0.000489003170712437,0.0497763387941777,39.4586117909198
"ENSG00000145592","RPL37",1.10353981544967,2.14881281747497,0.000312693025048003,0.0378851854792402,1741.89417569414
"ENSG00000145703","IQGAP2",1.69596010414761,3.23992429740257,0.000316415338224358,0.0378851854792402,85.1882344740906
"ENSG00000145779","TNFAIP8",2.97596938665445,7.86784963817715,1.10798921405501e-06,0.00100431308045415,29.4076816574692
"ENSG00000150782","IL18",1.23983823033233,2.36172048784657,0.00033121754196515,0.0386793000693658,94.138061695298
"ENSG00000152049","KCNE4",1.95765113785095,3.88429059734976,3.65733871332862e-05,0.0110503876838429,51.4800899780559
"ENSG00000152763","DNAI4",1.10381474537653,2.14922234910047,0.000146914656194352,0.024625376762634,166.568600924807
"ENSG00000153179","RASSF3",1.6309868033812,3.09724778014116,0.000144538955936667,0.024625376762634,109.318085556935
"ENSG00000154274","C4orf19",1.38822406421921,2.61756264364029,3.54759257931849e-05,0.0110503876838429,65.0103309138242
"ENSG00000155368","DBI",1.02021415251656,2.02822000461747,0.000216124288068972,0.0298110566912527,1346.66110472436
"ENSG00000157766","ACAN",3.15957543635133,8.93566708396276,0.000177237913753237,0.0265647534511249,17.7540258704124
"ENSG00000158186","MRAS",1.20862006487594,2.31116468551989,5.50844849347912e-06,0.002688546591625,2588.28820221202
"ENSG00000158201","ABHD3",1.60068857745163,3.032880337495,0.000394151268894668,0.0427226824126411,46.4368900555678
"ENSG00000161642","ZNF385A",2.49645003360788,5.64295182713959,7.19598334865464e-05,0.016627109879285,83.6264222140588
"ENSG00000163297","ANTXR2",1.48342008082926,2.79610798987191,7.25353332814271e-06,0.00328740492621896,53.589235657226
"ENSG00000163421","PROK2",3.17335097804398,9.02139775082729,5.75911302590996e-05,0.0146166288597595,11.0957947037113
"ENSG00000163817","SLC6A20",2.42022454990112,5.35254325696139,4.64852689722405e-05,0.013146288495525,39.7695474235912
"ENSG00000163884","KLF15",1.20551639582522,2.3061980225039,0.000118492884013936,0.0224126447275265,98.2014645646776
"ENSG00000164692","COL1A2",3.61928160466842,12.2888806329258,2.38068477176175e-07,0.000377636121920708,30.9149586737646
"ENSG00000164707","SLC13A4",3.65822029076928,12.625077079048,5.19739830069699e-06,0.00260515759448836,214.310584070163
"ENSG00000165406","MARCHF8",1.32487474159836,2.50511136775442,0.000247724187914938,0.0329750343843416,189.615589336563
